Date,Asset,Period,Model,Conditional_Volatility
2005-11-16,SPY,full_sample,GARCH_11,0.5414105502335285
2005-11-17,SPY,full_sample,GARCH_11,0.52626949042847
2005-11-18,SPY,full_sample,GARCH_11,0.5759756900669183
2005-11-21,SPY,full_sample,GARCH_11,0.5653363221956296
2005-11-22,SPY,full_sample,GARCH_11,0.5626706794747778
2005-11-23,SPY,full_sample,GARCH_11,0.5552662283919855
2005-11-25,SPY,full_sample,GARCH_11,0.5596114739469606
2005-11-28,SPY,full_sample,GARCH_11,0.541961515591657
2005-11-29,SPY,full_sample,GARCH_11,0.5839164319361204
2005-11-30,SPY,full_sample,GARCH_11,0.5681491961997519
2005-12-01,SPY,full_sample,GARCH_11,0.5852968782620147
2005-12-02,SPY,full_sample,GARCH_11,0.6375448210770712
2005-12-05,SPY,full_sample,GARCH_11,0.6145906352533752
2005-12-06,SPY,full_sample,GARCH_11,0.6008744368076988
2005-12-07,SPY,full_sample,GARCH_11,0.5811614397230119
2005-12-08,SPY,full_sample,GARCH_11,0.6015670358235934
2005-12-09,SPY,full_sample,GARCH_11,0.5830120555055993
2005-12-12,SPY,full_sample,GARCH_11,0.5663034249078676
2005-12-13,SPY,full_sample,GARCH_11,0.5481645678779338
2005-12-14,SPY,full_sample,GARCH_11,0.5631276978516344
2005-12-15,SPY,full_sample,GARCH_11,0.5535574902072711
2005-12-16,SPY,full_sample,GARCH_11,0.54977682136837
2005-12-19,SPY,full_sample,GARCH_11,0.5487230977822815
2005-12-20,SPY,full_sample,GARCH_11,0.5656312376865152
2005-12-21,SPY,full_sample,GARCH_11,0.547540592222965
2005-12-22,SPY,full_sample,GARCH_11,0.5311901018584988
2005-12-23,SPY,full_sample,GARCH_11,0.5335241799129946
2005-12-27,SPY,full_sample,GARCH_11,0.5178744303927688
2005-12-28,SPY,full_sample,GARCH_11,0.6151026193182605
2005-12-29,SPY,full_sample,GARCH_11,0.5950508234767625
2005-12-30,SPY,full_sample,GARCH_11,0.5996506289231853
2006-01-03,SPY,full_sample,GARCH_11,0.6133117262585922
2006-01-04,SPY,full_sample,GARCH_11,0.7912346628426071
2006-01-05,SPY,full_sample,GARCH_11,0.7679491235118113
2006-01-06,SPY,full_sample,GARCH_11,0.736519039131973
2006-01-09,SPY,full_sample,GARCH_11,0.7448810048122199
2006-01-10,SPY,full_sample,GARCH_11,0.7167909109656874
2006-01-11,SPY,full_sample,GARCH_11,0.6885498707181996
2006-01-12,SPY,full_sample,GARCH_11,0.6660382427737159
2006-01-13,SPY,full_sample,GARCH_11,0.6593845963302476
2006-01-17,SPY,full_sample,GARCH_11,0.6375480145903216
2006-01-18,SPY,full_sample,GARCH_11,0.6252065768162116
2006-01-19,SPY,full_sample,GARCH_11,0.6226412251157457
2006-01-20,SPY,full_sample,GARCH_11,0.6077121373073939
2006-01-23,SPY,full_sample,GARCH_11,0.8487855274813555
2006-01-24,SPY,full_sample,GARCH_11,0.8167193917401097
2006-01-25,SPY,full_sample,GARCH_11,0.7822309198387886
2006-01-26,SPY,full_sample,GARCH_11,0.7498599555754721
2006-01-27,SPY,full_sample,GARCH_11,0.7342385105839176
2006-01-30,SPY,full_sample,GARCH_11,0.7527640395231774
2006-01-31,SPY,full_sample,GARCH_11,0.7242104527803467
2006-02-01,SPY,full_sample,GARCH_11,0.7432261532866306
2006-02-02,SPY,full_sample,GARCH_11,0.73873694119348
2006-02-03,SPY,full_sample,GARCH_11,0.8139049420986276
2006-02-06,SPY,full_sample,GARCH_11,0.8016592272457778
2006-02-07,SPY,full_sample,GARCH_11,0.7699931878501672
2006-02-08,SPY,full_sample,GARCH_11,0.8012133062526524
2006-02-09,SPY,full_sample,GARCH_11,0.8100289704975128
2006-02-10,SPY,full_sample,GARCH_11,0.7802065075757568
2006-02-13,SPY,full_sample,GARCH_11,0.7485218493400219
2006-02-14,SPY,full_sample,GARCH_11,0.7234473552387286
2006-02-15,SPY,full_sample,GARCH_11,0.7592501764135722
2006-02-16,SPY,full_sample,GARCH_11,0.7330193308260462
2006-02-17,SPY,full_sample,GARCH_11,0.7338907391192419
2006-02-21,SPY,full_sample,GARCH_11,0.7138656579343879
2006-02-22,SPY,full_sample,GARCH_11,0.6942182286597974
2006-02-23,SPY,full_sample,GARCH_11,0.6871532819554568
2006-02-24,SPY,full_sample,GARCH_11,0.6651130712150085
2006-02-27,SPY,full_sample,GARCH_11,0.6423558809773855
2006-02-28,SPY,full_sample,GARCH_11,0.6191935666336724
2006-03-01,SPY,full_sample,GARCH_11,0.6834331638806098
2006-03-02,SPY,full_sample,GARCH_11,0.7041314367052928
2006-03-03,SPY,full_sample,GARCH_11,0.6774153341048947
2006-03-06,SPY,full_sample,GARCH_11,0.6751743814282923
2006-03-07,SPY,full_sample,GARCH_11,0.6726811364529569
2006-03-08,SPY,full_sample,GARCH_11,0.6520175241584903
2006-03-09,SPY,full_sample,GARCH_11,0.6291527073366731
2006-03-10,SPY,full_sample,GARCH_11,0.653325497621463
2006-03-13,SPY,full_sample,GARCH_11,0.6853110240879322
2006-03-14,SPY,full_sample,GARCH_11,0.65979840641162
2006-03-15,SPY,full_sample,GARCH_11,0.7035437484368874
2006-03-16,SPY,full_sample,GARCH_11,0.6854322234448972
2006-03-17,SPY,full_sample,GARCH_11,0.660232604555422
2006-03-20,SPY,full_sample,GARCH_11,0.6356657700718911
2006-03-21,SPY,full_sample,GARCH_11,0.6179153383732453
2006-03-22,SPY,full_sample,GARCH_11,0.6386947997548664
2006-03-23,SPY,full_sample,GARCH_11,0.637110404826916
2006-03-24,SPY,full_sample,GARCH_11,0.6213264369920698
