experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,crisis,GJR_GARCH_11,504,45.8248270671447,22.86704126106634,1.3552167139239706,21.487942525185087,21.38671823639562
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,post_crisis,GJR_GARCH_11,880,7.200931724855164,3.7898528929028585,1.6177855051363716,3.551201363740555,4.047324254717731
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,crisis,GJR_GARCH_11,504,12.25488953469826,4.978128691673995,1.5097234856389636,4.861622112693699,5.039608311701623
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,SPY,SPY,post_crisis,GJR_GARCH_11,880,2.721971679601934,1.4415793705715094,1.642930171308116,1.3100887978011186,1.505286404719343
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,crisis,GJR_GARCH_11,504,36.860085222815506,18.980437187902105,1.4522959911821631,18.360091584501824,18.47682978873784
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,XLF,XLF,post_crisis,GJR_GARCH_11,880,5.965502585792672,3.106925230455332,1.7319700166378864,2.872589686305472,3.2089391426307037
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,RandomForest,504,45.26175438030344,22.342060797555444,1.4549665941041503,21.487942525185087,20.21712137787151
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,post_crisis,RandomForest,880,7.410368985164388,3.949267096154224,1.6223595331658325,3.5512013637405553,4.190874261462238
ML_Rolling,by_period,Benchmark,asset_specific_rolling,SPY,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,1.5946898248065926,4.861622112693699,4.846290414297171
ML_Rolling,by_period,ML,asset_specific_rolling,SPY,SPY,post_crisis,RandomForest,880,2.8381023763597892,1.5076756293577804,1.6679028123468769,1.3100887978011189,1.5373415780520514
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,crisis,RandomForest,504,37.02860716628861,19.622670870886044,1.5468829181206174,18.360091584501824,19.11249565204869
ML_Rolling,by_period,ML,asset_specific_rolling,XLF,XLF,post_crisis,RandomForest,880,6.087298651091857,3.2312807424283077,1.7472386666247162,2.872589686305472,3.3419473324363707
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,KBE,KBE,crisis,Naive_Rolling22,504,45.90252070049251,23.27971136370759,3.766037957340669,21.487942525185087,21.3955718768798
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,KBE,KBE,post_crisis,Naive_Rolling22,880,7.24814678041547,3.606390798842841,2.0880397858156594,3.5512013637405553,3.604153486915957
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,SPY,SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,2.1795255364942627,4.861622112693699,4.846290414297171
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,SPY,SPY,post_crisis,Naive_Rolling22,880,2.8786541514463466,1.4285681413996656,1.1096659888870948,1.3100887978011189,1.3231015697107544
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,XLF,XLF,crisis,Naive_Rolling22,504,37.4845038499492,19.26643169204656,3.578101358091013,18.360091584501824,18.279771640029576
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,XLF,XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.8807983208216208,2.872589686305472,2.9208395167541528
