experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,crisis,GJR_GARCH_11,504,45.8248270671447,22.86704126106634,1.3552167139239706,21.487942525185087,21.38671823639562,1,2,14
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,crisis,GARCH_11,504,45.844996038210546,23.012266790402364,1.4172136090412966,21.487942525185087,21.51445898366335,2,3,15
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,RandomForest,504,45.26175438030344,22.342060797555444,1.4549665941041503,21.487942525185087,20.21712137787151,3,1,11
GARCH_Rolling,by_period,Benchmark,asset_specific_rolling,KBE,KBE,crisis,Naive_Rolling22,504,45.90252070049251,23.27971136370759,1.505252874971016,21.487942525185087,21.3955718768798,4,5,17
ML_Rolling,by_period,Benchmark,asset_specific_rolling,KBE,KBE,crisis,Naive_Rolling22,504,45.90252070049251,23.27971136370759,1.5052528749710168,21.487942525185087,21.3955718768798,5,5,17
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,crisis,EGARCH_11,504,inf,3.566851458060066e+305,3.33224161870178,21.487942525185087,3.566851458060066e+305,6,22,22
ML_Strict_PreCrisis,by_period,Benchmark,asset_specific,KBE,KBE,crisis,Naive_Rolling22,504,45.90252070049251,23.27971136370759,3.766037957340669,21.487942525185087,21.3955718768798,7,5,17
ML_Strict_PreCrisis,by_period,Benchmark,pooled,ALL,KBE,crisis,Naive_Rolling22,504,45.90252070049251,23.27971136370759,3.766037957340669,21.487942525185087,21.3955718768798,7,5,17
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,crisis,RandomForest,504,51.92603280235074,20.61915034472639,16.428334243343844,21.487942525185087,1.3705039808093007,9,14,2
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,crisis,RandomForest,504,52.00954167049647,20.713877682951495,18.182199010430235,21.487942525185087,1.201041697248282,10,17,3
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,crisis,XGBoost,504,51.833243106884886,20.591531660437596,19.23456360940545,21.487942525185087,1.601770472940102,11,13,1
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,crisis,GradientBoosting,504,51.999311695634034,20.736853534864498,56908.41487591382,21.487942525185087,1.2388325175657546,12,16,4
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,XGBoost,504,46.66765431097785,23.24115086743842,3851782.146095704,21.487942525185087,20.58903847579123,13,10,16
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,crisis,GradientBoosting,504,52.12021815815317,20.866954142659267,4552535.75837095,21.487942525185087,1.0304339022932574,14,18,6
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,GradientBoosting,504,45.858288685533125,22.428284432523043,10588288.779655864,21.487942525185087,18.47365448425341,15,4,12
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,crisis,XGBoost,504,51.96298355589867,20.742565227862823,65108327.934832305,21.487942525185087,1.3555300904712984,16,15,5
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,LightGBM,504,46.13765308716569,22.619480763616934,67939008.63884267,21.487942525185087,18.388804559425157,17,9,13
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,crisis,Ridge,504,48.97711658325344,25.19583533862014,97788948.12111609,21.487942525185087,23.208145693799256,18,11,21
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,crisis,LightGBM,504,52.141238301702266,20.92525245125157,263235822.13262028,21.487942525185087,0.9442282906906964,19,19,7
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,crisis,LightGBM,504,52.38889574623697,21.241195650823993,499506042.2587431,21.487942525185087,0.429535136203807,20,20,8
ML_Strict_PreCrisis,by_period,ML,asset_specific,KBE,KBE,crisis,Ridge,504,51.598818284648914,21.668382010052483,1595002122.7185202,21.487942525185087,2.7656254520756,21,12,10
ML_Strict_PreCrisis,by_period,ML,pooled,ALL,KBE,crisis,Ridge,504,52.50617077960765,21.454105932400115,2113607957.6082284,21.487942525185087,0.0912306445502362,22,21,9
GARCH_Rolling,by_period,GARCH,asset_specific_rolling,KBE,KBE,post_crisis,GJR_GARCH_11,880,7.200931724855164,3.7898528929028585,1.6177855051363716,3.551201363740555,4.047324254717731,1,1,16
ML_Rolling,by_period,ML,asset_specific_rolling,KBE,KBE,post_crisis,RandomForest,880,7.410368985164388,3.949267096154224,1.6223595331658325,3.5512013637405553,4.190874261462238,2,8,18
