experiment,level,model_family,scope,trained_asset,Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean,qlike_rank,rmse_rank,mae_rank
GARCH_Rolling,overall,GARCH,asset_specific_rolling,KBE,KBE,overall,GJR_GARCH_11,1384,28.24321564848764,10.737037096338112,1.522167968452087,10.083078202879316,10.36167003995303,1,2,12
GARCH_Rolling,overall,GARCH,asset_specific_rolling,KBE,KBE,overall,GARCH_11,1384,28.262376566034224,10.826534545395504,1.5510160981321917,10.083078202879316,10.485425205971508,2,3,17
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,RandomForest,1384,27.945441927064465,10.647220871809004,1.5614014108485723,10.083078202879316,10.027022055299142,3,1,11
GARCH_Rolling,overall,Benchmark,asset_specific_rolling,KBE,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,1.5863593827697198,10.083078202879316,10.083109316787182,4,4,13
ML_Rolling,overall,Benchmark,asset_specific_rolling,KBE,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,1.5863593827697209,10.083078202879316,10.083109316787183,5,4,13
GARCH_Rolling,overall,GARCH,asset_specific_rolling,KBE,KBE,overall,EGARCH_11,1384,inf,1.298911224611469e+305,2.2463785212507763,10.083078202879316,1.298911224611469e+305,6,22,22
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,KBE,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,2.699102703769853,10.083078202879316,10.083109316787183,7,4,13
ML_Strict_PreCrisis,overall,Benchmark,pooled,ALL,KBE,overall,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,2.699102703769853,10.083078202879316,10.083109316787183,7,4,13
ML_Strict_PreCrisis,overall,ML,pooled,ALL,KBE,overall,RandomForest,1384,31.96127035641419,9.563502793301422,8.066285181781437,10.083078202879316,1.1725221098577332,9,14,1
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,RandomForest,1384,32.01749139167915,9.60840698971859,8.794368491814092,10.083078202879316,1.0625125454145574,10,17,3
ML_Strict_PreCrisis,overall,ML,pooled,ALL,KBE,overall,GradientBoosting,1384,32.00885584886322,9.633939884215584,376945.558076394,10.083078202879316,1.053109612350987,11,16,4
ML_Strict_PreCrisis,overall,ML,pooled,ALL,KBE,overall,XGBoost,1384,31.89542401747673,9.580907226017963,387079.8933527699,10.083078202879316,1.3329112678416162,12,13,2
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,XGBoost,1384,28.93280706170615,11.40979599126119,1402673.1916230212,10.083078202879316,10.888531882565353,13,10,20
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,GradientBoosting,1384,32.08798620514904,9.70231089752794,2913407.9402317996,10.083078202879316,1.0326702073060552,14,18,6
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,GradientBoosting,1384,28.3296960322822,11.016462087602536,3855852.054598152,10.083078202879316,9.932614788885568,15,8,19
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,LightGBM,1384,28.492684698317348,10.921537814068374,25683212.88597264,10.083078202879316,9.618947509593058,16,9,18
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,XGBoost,1384,31.9822102601636,9.664682352971017,25752880.86273174,10.083078202879316,1.2651292764809596,17,15,5
ML_Rolling,overall,ML,asset_specific_rolling,KBE,KBE,overall,Ridge,1384,30.35862345855397,12.07235174111218,90975100.91762896,10.083078202879316,11.019918510471582,18,11,21
ML_Strict_PreCrisis,overall,ML,pooled,ALL,KBE,overall,LightGBM,1384,32.10554618683694,9.723894766299756,113264454.226459,10.083078202879316,0.879406113754032,19,19,7
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,LightGBM,1384,32.28035306488099,9.89398904611278,223022024.10991,10.083078202879316,0.528526369018635,20,20,8
ML_Strict_PreCrisis,overall,ML,asset_specific,KBE,KBE,overall,Ridge,1384,31.824661855871348,10.251610112812514,666166540.6950388,10.083078202879316,2.074709582892931,21,12,10
ML_Strict_PreCrisis,overall,ML,pooled,ALL,KBE,overall,Ridge,1384,32.36500624634225,10.043461138646808,947594311.4483508,10.083078202879316,0.1990987761337429,22,21,9
ML_Strict_PreCrisis,overall,Benchmark,asset_specific,SPY,SPY,overall,Naive_Rolling22,1384,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6034217390625787,2.6061125362364432,1,3,13
ML_Strict_PreCrisis,overall,Benchmark,pooled,ALL,SPY,overall,Naive_Rolling22,1384,8.031967008592336,2.7764613332944097,1.4992680206746765,2.6034217390625787,2.6061125362364432,1,3,13
