asset,period,model,status,error,n_obs,loglikelihood,aic,bic,convergence_flag
SPY,full_sample,GARCH_11,success,,1791,-2619.2305840675795,5248.461168135159,5275.913815145463,0
SPY,full_sample,GJR_GARCH_11,success,,1791,-2584.3452119005697,5180.690423801139,5213.633600213504,0
SPY,full_sample,EGARCH_11,success,,1791,-2579.6056521929577,5171.211304385915,5204.15448079828,0
SPY,pre_crisis,GARCH_11,success,,406,-374.25029655719925,758.5005931143985,778.5323589124072,0
SPY,pre_crisis,GJR_GARCH_11,success,,406,-366.33895976075036,744.6779195215007,768.7160384791111,0
SPY,pre_crisis,EGARCH_11,success,,406,-358.9078669730176,729.8157339460352,753.8538529036456,0
SPY,crisis,GARCH_11,success,,504,-990.3079194773983,1990.6158389547966,2011.7287202951534,0
SPY,crisis,GJR_GARCH_11,success,,504,-980.9123522544202,1973.8247045088403,1999.1601621172686,0
SPY,crisis,EGARCH_11,success,,504,-978.8331221402293,1969.6662442804586,1995.0017018888868,0
SPY,post_crisis,GARCH_11,success,,881,-1244.5733846761143,2499.1467693522286,2523.0520574819093,0
SPY,post_crisis,GJR_GARCH_11,success,,881,-1224.9800271372733,2461.9600542745466,2490.6464000301635,0
SPY,post_crisis,EGARCH_11,success,,881,-1220.3398051911504,2452.679610382301,2481.3659561379177,0
XLF,full_sample,GARCH_11,success,,1791,-3388.850122124407,6787.700244248814,6815.1528912591175,0
XLF,full_sample,GJR_GARCH_11,success,,1791,-3373.301577592786,6758.603155185572,6791.546331597937,0
XLF,full_sample,EGARCH_11,success,,1791,-3375.5947704380624,6763.189540876125,6796.132717288489,0
XLF,pre_crisis,GARCH_11,success,,406,-457.95596141075157,925.9119228215031,945.9436886195118,0
XLF,pre_crisis,GJR_GARCH_11,success,,406,-453.24305719840686,918.4861143968137,942.5242333544242,0
XLF,pre_crisis,EGARCH_11,success,,406,-444.2496807689339,900.4993615378678,924.5374804954782,0
XLF,crisis,GARCH_11,success,,504,-1329.0564186446782,2668.1128372893563,2689.2257186297134,0
XLF,crisis,GJR_GARCH_11,success,,504,-1320.815891170087,2653.631782340174,2678.9672399486026,0
XLF,crisis,EGARCH_11,success,,504,-1319.7329364505406,2651.465872901081,2676.801330509509,0
XLF,post_crisis,GARCH_11,success,,881,-1588.8969763993093,3187.7939527986186,3211.6992409282993,0
XLF,post_crisis,GJR_GARCH_11,success,,881,-1585.6710545958326,3183.3421091916653,3212.028454947282,0
XLF,post_crisis,EGARCH_11,success,,881,-1587.968865314876,3187.937730629752,3216.624076385369,0
KBE,full_sample,GARCH_11,success,,1791,-3522.9971172340247,7055.994234468049,7083.446881478353,0
KBE,full_sample,GJR_GARCH_11,success,,1791,-3512.7079633760072,7037.4159267520145,7070.359103164379,0
KBE,full_sample,EGARCH_11,success,,1791,-3513.427545501037,7038.855091002074,7071.798267414439,0
KBE,pre_crisis,GARCH_11,success,,406,-442.3868875700944,894.7737751401888,914.8055409381975,0
KBE,pre_crisis,GJR_GARCH_11,success,,406,-439.75302405070136,891.5060481014027,915.5441670590131,0
KBE,pre_crisis,EGARCH_11,success,,406,-439.21408617516687,890.4281723503337,914.4662913079442,0
KBE,crisis,GARCH_11,success,,504,-1367.0986977040357,2744.1973954080713,2765.3102767484284,0
KBE,crisis,GJR_GARCH_11,success,,504,-1360.3565241239235,2732.713048247847,2758.0485058562754,0
KBE,crisis,EGARCH_11,success,,504,-1360.4264308476031,2732.8528616952062,2758.1883193036347,0
KBE,post_crisis,GARCH_11,success,,881,-1697.8769690761735,3405.753938152347,3429.6592262820277,0
KBE,post_crisis,GJR_GARCH_11,success,,881,-1696.9160286671497,3405.8320573342994,3434.5184030899163,0
KBE,post_crisis,EGARCH_11,success,,881,-1698.344415229547,3408.688830459094,3437.375176214711,0
