asset,period,model,parameter,estimate,std_error,t_stat,p_value
SPY,full_sample,GARCH_11,mu,0.09052361241165612,0.01844806042664677,4.90694470411111,9.250609938580656e-07
SPY,full_sample,GARCH_11,omega,0.012140259166686965,0.004970912170594193,2.4422598408605136,0.014595637133138389
SPY,full_sample,GARCH_11,alpha[1],0.10089622048114014,0.014183981937241245,7.113391777257455,1.132252762670473e-12
SPY,full_sample,GARCH_11,beta[1],0.8991037795188599,0.012742653952691443,70.55859657312247,0.0
SPY,full_sample,GARCH_11,nu,5.2762518891563515,0.7024826443341102,7.510864405992207,5.873820795755505e-14
SPY,full_sample,GJR_GARCH_11,mu,0.06144283308938031,0.0191448160298146,3.2093718212645226,0.0013302534400948937
SPY,full_sample,GJR_GARCH_11,omega,0.01398349035927282,0.005289904437701029,2.643429673249445,0.008207081294914405
SPY,full_sample,GJR_GARCH_11,alpha[1],0.0,0.02282377249308809,0.0,1.0
SPY,full_sample,GJR_GARCH_11,gamma[1],0.17803279286439458,0.03216750336425026,5.534554262680312,3.120208248780499e-08
SPY,full_sample,GJR_GARCH_11,beta[1],0.9018745350616431,0.021406082043782013,42.13169571232291,0.0
SPY,full_sample,GJR_GARCH_11,nu,5.880045408587383,0.9199726006654997,6.391544057218456,1.6421895020061798e-10
SPY,full_sample,EGARCH_11,mu,0.06128597408164911,0.00346181365892501,17.70342950830003,3.945331441160402e-70
SPY,full_sample,EGARCH_11,omega,0.0007394710879604971,0.0037425914160157227,0.19758263880905308,0.8433716192404802
SPY,full_sample,EGARCH_11,alpha[1],0.11903209083515894,0.020198489743332187,5.893118364181319,3.7897473893676546e-09
SPY,full_sample,EGARCH_11,gamma[1],-0.16955072630317342,0.02222886160008221,-7.627503799049537,2.3934275683875038e-14
SPY,full_sample,EGARCH_11,beta[1],0.9842594801094476,0.0043820762862308085,224.6103024728597,0.0
SPY,full_sample,EGARCH_11,nu,5.870455437609829,0.8461907217706184,6.937508633191048,3.990749440665759e-12
SPY,pre_crisis,GARCH_11,mu,0.08902996580528844,0.026478117553142447,3.3623978602935947,0.0007726870558588026
SPY,pre_crisis,GARCH_11,omega,0.018469374996509205,0.010807649456890814,1.7089169176127725,0.0874663403092142
SPY,pre_crisis,GARCH_11,alpha[1],0.06323595464307925,0.019874664676601532,3.1817369335306083,0.0014639472447671035
SPY,pre_crisis,GARCH_11,beta[1],0.8992952196832475,0.028253850047847272,31.829121275872524,2.560627661162921e-222
SPY,pre_crisis,GARCH_11,nu,4.590452495162601,1.2875382272136626,3.5652941389528396,0.00036344834669026964
SPY,pre_crisis,GJR_GARCH_11,mu,0.07256026384243162,0.027181823756862292,2.669440597197351,0.007597771129415596
SPY,pre_crisis,GJR_GARCH_11,omega,0.028663342720618514,0.018442869442863132,1.5541693666172112,0.12014402248789899
