Asset,Period,Model,n_obs,AIC,BIC,alpha_1,alpha_1_pval,gamma_1,gamma_1_pval,beta_1,beta_1_pval,persistence
SPY,full_sample,GARCH_11,1791,5248.461168,5275.913815,0.10089622,1.13225E-12,,,0.89910378,0,1
SPY,full_sample,GJR_GARCH_11,1791,5180.690424,5213.6336,0,1,0.178032793,3.12021E-08,0.901874535,0,0.990890931
SPY,full_sample,EGARCH_11,1791,5171.211304,5204.154481,0.119032091,3.78975E-09,-0.169550726,2.39343E-14,0.98425948,0,0.98425948
SPY,pre_crisis,GARCH_11,406,758.5005931,778.5323589,0.063235955,0.001463947,,,0.89929522,2.5606E-222,0.962531174
SPY,pre_crisis,GJR_GARCH_11,406,744.6779195,768.7160385,0,1,0.177994365,0.07668288,0.844057866,5.10095E-20,0.933055049
SPY,pre_crisis,EGARCH_11,406,729.8157339,753.8538529,-0.022535078,0.549886984,-0.265088265,3.79631E-05,0.925650782,5.3672E-106,0.925650782
SPY,crisis,GARCH_11,504,1990.615839,2011.72872,0.097667712,4.26568E-05,,,0.889618439,0,0.98728615
SPY,crisis,GJR_GARCH_11,504,1973.824705,1999.160162,0,1,0.157479359,0.000270099,0.910705444,1.2132E-274,0.989445124
SPY,crisis,EGARCH_11,504,1969.666244,1995.001702,0.093021845,0.005663254,-0.157468675,8.62473E-09,0.983402322,0,0.983402322
SPY,post_crisis,GARCH_11,881,2499.146769,2523.052057,0.108095305,3.41426E-06,,,0.874900982,0,0.982996286
SPY,post_crisis,GJR_GARCH_11,881,2461.960054,2490.6464,2.86829E-10,0.999999997,0.219855008,0.001040373,0.862508022,2.6626E-58,0.972435526
SPY,post_crisis,EGARCH_11,881,2452.67961,2481.365956,0.13678244,1.52162E-06,-0.225432674,3.88296E-07,0.95673835,0,0.95673835
XLF,full_sample,GARCH_11,1791,6787.700244,6815.152891,0.092264041,2.62613E-11,,,0.907735959,0,1
XLF,full_sample,GJR_GARCH_11,1791,6758.603155,6791.546332,0.016089668,0.275379088,0.115238813,1.85136E-07,0.924715391,0,0.998424465
XLF,full_sample,EGARCH_11,1791,6763.189541,6796.132717,0.14763971,9.16015E-06,-0.095892816,7.99486E-09,0.992329331,0,0.992329331
XLF,pre_crisis,GARCH_11,406,925.9119228,945.9436886,0.038379586,0.012373602,,,0.921738629,4.9092E-255,0.960118215
XLF,pre_crisis,GJR_GARCH_11,406,918.4861144,942.5242334,0,1,0.089390725,0.831471266,0.908321245,0.191427053,0.953016607
XLF,pre_crisis,EGARCH_11,406,900.4993615,924.5374805,-0.101321388,0.001230417,-0.218604835,1.38937E-11,0.952366444,0,0.952366444
XLF,crisis,GARCH_11,504,2668.112837,2689.225719,0.137243322,0.000211065,,,0.862756678,5.9982E-154,1
XLF,crisis,GJR_GARCH_11,504,2653.631782,2678.96724,0.01374018,0.640020805,0.175482215,1.32014E-05,0.898518712,3.7397E-145,0.999999999
XLF,crisis,EGARCH_11,504,2651.465873,2676.801331,0.157773766,0.020582793,-0.154255931,8.18138E-08,0.987403196,0,0.987403196
XLF,post_crisis,GARCH_11,881,3187.793953,3211.699241,0.091311808,3.33138E-05,,,0.896948521,0,0.98826033
XLF,post_crisis,GJR_GARCH_11,881,3183.342109,3212.028455,0.036116433,0.107526734,0.084092132,0.017125004,0.905327905,0,0.983490404
XLF,post_crisis,EGARCH_11,881,3187.937731,3216.624076,0.174526419,5.25008E-05,-0.072127807,0.010800513,0.978401481,0,0.978401481
KBE,full_sample,GARCH_11,1791,7055.994234,7083.446881,0.085079342,3.12491E-10,,,0.914920658,0,1
KBE,full_sample,GJR_GARCH_11,1791,7037.415927,7070.359103,0.031589368,0.032756126,0.084943818,3.56203E-06,0.925938723,0,1
KBE,full_sample,EGARCH_11,1791,7038.855091,7071.798267,0.168636817,7.14434E-08,-0.074169722,1.46337E-06,0.993627933,0,0.993627933
KBE,pre_crisis,GARCH_11,406,894.7737751,914.8055409,0.046365347,0.012285452,,,0.935171149,0,0.981536495
KBE,pre_crisis,GJR_GARCH_11,406,891.5060481,915.5441671,0.002078155,0.92556461,0.082624307,0.043355002,0.936500221,3.7167E-227,0.97989053
KBE,pre_crisis,EGARCH_11,406,890.4281724,914.4662913,0.072060812,0.146415932,-0.120194321,0.024615595,0.967944369,0,0.967944369
KBE,crisis,GARCH_11,504,2744.197395,2765.310277,0.150607569,2.11901E-05,,,0.849392431,1.2534E-157,1
KBE,crisis,GJR_GARCH_11,504,2732.713048,2758.048506,0.029190045,0.421835215,0.172715705,0.000219758,0.884452103,3.8664E-121,1
KBE,crisis,EGARCH_11,504,2732.852862,2758.188319,0.208741434,0.000407881,-0.149915869,1.62562E-05,0.987446779,0,0.987446779
KBE,post_crisis,GARCH_11,881,3405.753938,3429.659226,0.072800264,9.4452E-05,,,0.917690535,0,0.990490799
KBE,post_crisis,GJR_GARCH_11,881,3405.832057,3434.518403,0.04836397,0.011276696,0.038903341,0.159450573,0.920812342,0,0.988627982
KBE,post_crisis,EGARCH_11,881,3408.68883,3437.375176,0.155138454,1.91379E-05,-0.043542642,0.04566227,0.984646921,0,0.984646921
