Asset,Period,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
KBE,crisis,EGARCH_11,504,inf,3.566851458060066e+305,3.33224161870178,21.487942525185087,3.566851458060066e+305
KBE,crisis,GARCH_11,504,45.844996038210546,23.012266790402364,1.4172136090412966,21.487942525185087,21.51445898366335
KBE,crisis,GJR_GARCH_11,504,45.8248270671447,22.86704126106634,1.3552167139239706,21.487942525185087,21.38671823639562
KBE,crisis,Naive_Rolling22,504,45.902520700492516,23.27971136370759,1.505252874971016,21.487942525185087,21.3955718768798
KBE,post_crisis,EGARCH_11,880,7.219375397696939,3.7527485984837616,1.6244751108924746,3.551201363740555,3.8812471794733603
KBE,post_crisis,GARCH_11,880,7.2455020874347795,3.847433350527941,1.6276484327933407,3.551201363740555,4.1687967696570905
KBE,post_crisis,GJR_GARCH_11,880,7.200931724855164,3.7898528929028585,1.6177855051363716,3.551201363740555,4.047324254717731
KBE,post_crisis,Naive_Rolling22,880,7.24814678041547,3.606390798842842,1.6328112917817046,3.551201363740555,3.604153486915957
SPY,crisis,EGARCH_11,504,inf,inf,4.990891806640933,4.861622112693699,inf
SPY,crisis,GARCH_11,504,12.597203828935038,5.07051623442188,1.5479318715922552,4.861622112693699,4.883375704641742
SPY,crisis,GJR_GARCH_11,504,12.25488953469826,4.978128691673995,1.5097234856389636,4.861622112693699,5.039608311701623
SPY,crisis,Naive_Rolling22,504,12.754787459163078,5.129925636602693,1.5946898248065897,4.861622112693699,4.846290414297169
SPY,post_crisis,EGARCH_11,880,2.6787829377740984,1.4195071340973295,1.655681309056299,1.3100887978011186,1.4274959338358724
SPY,post_crisis,GARCH_11,880,2.796374539724467,1.5020894935402112,1.6902412731996421,1.3100887978011186,1.5187209357952867
SPY,post_crisis,GJR_GARCH_11,880,2.7219716796019346,1.4415793705715094,1.6429301713081161,1.3100887978011186,1.505286404719343
SPY,post_crisis,Naive_Rolling22,880,2.878654151446346,1.4285681413996656,1.7612851374869014,1.3100887978011186,1.3231015697107544
XLF,crisis,EGARCH_11,504,inf,inf,15602845.576747067,18.360091584501824,inf
XLF,crisis,GARCH_11,504,37.28491100757393,19.173781392737613,1.519888549567971,18.360091584501824,18.361179564052055
XLF,crisis,GJR_GARCH_11,504,36.860085222815506,18.980437187902105,1.4522959911821631,18.360091584501824,18.476829788737838
XLF,crisis,Naive_Rolling22,504,37.484503849949206,19.26643169204656,1.5759334077006728,18.360091584501824,18.27977164002958
XLF,post_crisis,EGARCH_11,880,5.941289863597513,3.0772689801394644,1.7553282710469076,2.872589686305472,3.1001819074813937
XLF,post_crisis,GARCH_11,880,6.046178430538009,3.176192213934147,1.745599802670625,2.872589686305472,3.324307356390317
XLF,post_crisis,GJR_GARCH_11,880,5.965502585792672,3.106925230455332,1.7319700166378864,2.872589686305472,3.2089391426307037
XLF,post_crisis,Naive_Rolling22,880,6.11277099980882,3.000676250402914,1.7895538584737658,2.872589686305472,2.9208395167541528
