Asset,model,n_obs,rmse,mae,qlike,actual_mean,prediction_mean
KBE,EGARCH_11,1384,inf,1.298911224611469e+305,2.2463785212507763,10.083078202879316,1.298911224611469e+305
KBE,GARCH_11,1384,28.262376566034224,10.826534545395505,1.5510160981321917,10.083078202879316,10.485425205971508
KBE,GJR_GARCH_11,1384,28.24321564848764,10.737037096338113,1.522167968452087,10.083078202879316,10.36167003995303
KBE,Naive_Rolling22,1384,28.29678877510828,10.770663605701104,1.5863593827697198,10.083078202879316,10.083109316787182
SPY,EGARCH_11,1384,inf,inf,2.870237733032206,2.6034217390625787,inf
SPY,GARCH_11,1384,7.922168155703678,2.801574376057813,1.638417618279033,2.6034217390625787,2.7439998400572905
SPY,GJR_GARCH_11,1384,7.707248402663991,2.729455712938311,1.5944213782609682,2.6034217390625787,2.7923516078400574
SPY,Naive_Rolling22,1384,8.031967008592336,2.7764613332944093,1.7006174802680598,2.6034217390625787,2.6061125362364432
XLF,EGARCH_11,1384,inf,inf,5681962.222087717,8.51254702495501,inf
XLF,GARCH_11,1384,23.010623230842565,9.001903880203619,1.6634043752401786,8.51254702495501,8.800162553400083
XLF,GJR_GARCH_11,1384,22.746472117622282,8.88745270628855,1.6301234062118135,8.51254702495501,8.768922441502088
XLF,Naive_Rolling22,1384,23.139536823444534,8.924043838978346,1.711761439984142,8.51254702495501,8.513976648351564
