scope,trained_asset,model,importance_type,feature,value,abs_value
asset_specific,KBE,GradientBoosting,feature_importance,return_lag_3,0.19502891571118056,0.19502891571118056
asset_specific,KBE,GradientBoosting,feature_importance,rolling_downside_squared_return_22d,0.11542445348782733,0.11542445348782733
asset_specific,KBE,GradientBoosting,feature_importance,return_lag_5,0.11504655987544182,0.11504655987544182
asset_specific,KBE,GradientBoosting,feature_importance,rolling_abs_return_22d,0.07096643728653608,0.07096643728653608
asset_specific,KBE,GradientBoosting,feature_importance,abs_return_lag_3,0.045040158290658085,0.045040158290658085
asset_specific,KBE,GradientBoosting,feature_importance,return_t,0.0415741172951762,0.0415741172951762
asset_specific,KBE,GradientBoosting,feature_importance,rolling_negative_share_5d,0.03773021766017987,0.03773021766017987
asset_specific,KBE,GradientBoosting,feature_importance,negative_squared_return_t,0.03452475219457495,0.03452475219457495
asset_specific,KBE,GradientBoosting,feature_importance,rolling_downside_squared_return_66d,0.03402032661222581,0.03402032661222581
asset_specific,KBE,GradientBoosting,feature_importance,rolling_abs_return_66d,0.031399336333057755,0.031399336333057755
asset_specific,KBE,GradientBoosting,feature_importance,return_lag_1,0.030168841052344065,0.030168841052344065
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_lag_10,0.027087023314253136,0.027087023314253136
asset_specific,KBE,GradientBoosting,feature_importance,rolling_negative_share_66d,0.02390748933507056,0.02390748933507056
asset_specific,KBE,GradientBoosting,feature_importance,abs_return_lag_5,0.022113832899323824,0.022113832899323824
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_lag_5,0.018836896272064984,0.018836896272064984
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_lag_3,0.018743437810166713,0.018743437810166713
asset_specific,KBE,GradientBoosting,feature_importance,rolling_volatility_22d,0.01868731469439976,0.01868731469439976
asset_specific,KBE,GradientBoosting,feature_importance,rolling_abs_return_5d,0.016592153122292154,0.016592153122292154
asset_specific,KBE,GradientBoosting,feature_importance,return_lag_2,0.01427228776414584,0.01427228776414584
asset_specific,KBE,GradientBoosting,feature_importance,rolling_negative_share_22d,0.013822978500698926,0.013822978500698926
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_lag_1,0.013422210404352845,0.013422210404352845
asset_specific,KBE,GradientBoosting,feature_importance,abs_return_lag_2,0.010365394850331855,0.010365394850331855
asset_specific,KBE,GradientBoosting,feature_importance,rolling_downside_squared_return_5d,0.009673926661612355,0.009673926661612355
asset_specific,KBE,GradientBoosting,feature_importance,rolling_mean_squared_return_22d,0.008405997693812213,0.008405997693812213
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_lag_2,0.008272236753005658,0.008272236753005658
asset_specific,KBE,GradientBoosting,feature_importance,rolling_sum_squared_return_22d,0.007285053054000199,0.007285053054000199
asset_specific,KBE,GradientBoosting,feature_importance,squared_return_t,0.006577738277189164,0.006577738277189164
asset_specific,KBE,GradientBoosting,feature_importance,abs_return_lag_1,0.004780019959041901,0.004780019959041901
asset_specific,KBE,GradientBoosting,feature_importance,abs_return_t,0.004212653768004552,0.004212653768004552
asset_specific,KBE,GradientBoosting,feature_importance,rolling_mean_squared_return_66d,0.0010784511907071777,0.0010784511907071777
asset_specific,KBE,GradientBoosting,feature_importance,rolling_sum_squared_return_66d,0.0009387878763236109,0.0009387878763236109
asset_specific,KBE,GradientBoosting,feature_importance,negative_return_dummy_t,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,rolling_mean_squared_return_5d,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,rolling_sum_squared_return_5d,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,rolling_volatility_5d,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,rolling_volatility_66d,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,crisis_dummy,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,post_crisis_dummy,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,negative_x_crisis,0.0,0.0
asset_specific,KBE,GradientBoosting,feature_importance,negative_squared_x_crisis,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_downside_squared_return_22d,131.0,131.0
asset_specific,KBE,LightGBM,feature_importance,abs_return_lag_3,113.0,113.0
asset_specific,KBE,LightGBM,feature_importance,return_lag_3,95.0,95.0
asset_specific,KBE,LightGBM,feature_importance,return_t,79.0,79.0
asset_specific,KBE,LightGBM,feature_importance,return_lag_5,77.0,77.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_lag_10,73.0,73.0
asset_specific,KBE,LightGBM,feature_importance,rolling_abs_return_22d,66.0,66.0
asset_specific,KBE,LightGBM,feature_importance,abs_return_lag_2,64.0,64.0
asset_specific,KBE,LightGBM,feature_importance,return_lag_2,63.0,63.0
asset_specific,KBE,LightGBM,feature_importance,rolling_abs_return_66d,59.0,59.0
asset_specific,KBE,LightGBM,feature_importance,rolling_mean_squared_return_22d,55.0,55.0
asset_specific,KBE,LightGBM,feature_importance,rolling_downside_squared_return_66d,52.0,52.0
asset_specific,KBE,LightGBM,feature_importance,abs_return_t,47.0,47.0
asset_specific,KBE,LightGBM,feature_importance,return_lag_1,45.0,45.0
asset_specific,KBE,LightGBM,feature_importance,rolling_negative_share_5d,45.0,45.0
asset_specific,KBE,LightGBM,feature_importance,rolling_downside_squared_return_5d,44.0,44.0
asset_specific,KBE,LightGBM,feature_importance,abs_return_lag_5,42.0,42.0
asset_specific,KBE,LightGBM,feature_importance,rolling_abs_return_5d,40.0,40.0
asset_specific,KBE,LightGBM,feature_importance,rolling_negative_share_66d,39.0,39.0
asset_specific,KBE,LightGBM,feature_importance,rolling_negative_share_22d,24.0,24.0
asset_specific,KBE,LightGBM,feature_importance,abs_return_lag_1,19.0,19.0
asset_specific,KBE,LightGBM,feature_importance,rolling_mean_squared_return_5d,14.0,14.0
asset_specific,KBE,LightGBM,feature_importance,rolling_mean_squared_return_66d,10.0,10.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_t,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,negative_return_dummy_t,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,negative_squared_return_t,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_lag_1,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_lag_2,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_lag_3,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,squared_return_lag_5,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_sum_squared_return_5d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_volatility_5d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_sum_squared_return_22d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_volatility_22d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_sum_squared_return_66d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,rolling_volatility_66d,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,crisis_dummy,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,post_crisis_dummy,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,negative_x_crisis,0.0,0.0
asset_specific,KBE,LightGBM,feature_importance,negative_squared_x_crisis,0.0,0.0
asset_specific,KBE,RandomForest,feature_importance,return_lag_3,0.21674600627658225,0.21674600627658225
asset_specific,KBE,RandomForest,feature_importance,rolling_downside_squared_return_22d,0.1106061190135761,0.1106061190135761
asset_specific,KBE,RandomForest,feature_importance,rolling_negative_share_5d,0.08243803482527925,0.08243803482527925
asset_specific,KBE,RandomForest,feature_importance,return_lag_5,0.0692412956067314,0.0692412956067314
asset_specific,KBE,RandomForest,feature_importance,squared_return_lag_10,0.04475989010855802,0.04475989010855802
asset_specific,KBE,RandomForest,feature_importance,rolling_abs_return_22d,0.02788745586592858,0.02788745586592858
asset_specific,KBE,RandomForest,feature_importance,return_lag_2,0.024876349275349704,0.024876349275349704
asset_specific,KBE,RandomForest,feature_importance,abs_return_t,0.023924978177025647,0.023924978177025647
asset_specific,KBE,RandomForest,feature_importance,rolling_negative_share_22d,0.02322349183290928,0.02322349183290928
asset_specific,KBE,RandomForest,feature_importance,return_lag_1,0.022583032295480976,0.022583032295480976
asset_specific,KBE,RandomForest,feature_importance,squared_return_lag_1,0.022568933100300708,0.022568933100300708
asset_specific,KBE,RandomForest,feature_importance,rolling_sum_squared_return_22d,0.02223817608874317,0.02223817608874317
asset_specific,KBE,RandomForest,feature_importance,squared_return_t,0.02169657557445419,0.02169657557445419
asset_specific,KBE,RandomForest,feature_importance,rolling_downside_squared_return_66d,0.02075233598142391,0.02075233598142391
asset_specific,KBE,RandomForest,feature_importance,negative_squared_return_t,0.02043003025910333,0.02043003025910333
asset_specific,KBE,RandomForest,feature_importance,return_t,0.019969018030781993,0.019969018030781993
asset_specific,KBE,RandomForest,feature_importance,rolling_negative_share_66d,0.01946976460223107,0.01946976460223107
asset_specific,KBE,RandomForest,feature_importance,squared_return_lag_3,0.018726322611716598,0.018726322611716598
asset_specific,KBE,RandomForest,feature_importance,abs_return_lag_1,0.01850144719262714,0.01850144719262714
asset_specific,KBE,RandomForest,feature_importance,abs_return_lag_5,0.018393394976483766,0.018393394976483766
asset_specific,KBE,RandomForest,feature_importance,rolling_downside_squared_return_5d,0.017058980064006014,0.017058980064006014
asset_specific,KBE,RandomForest,feature_importance,rolling_abs_return_66d,0.01542738240701355,0.01542738240701355
asset_specific,KBE,RandomForest,feature_importance,rolling_mean_squared_return_22d,0.014099864318877015,0.014099864318877015
asset_specific,KBE,RandomForest,feature_importance,rolling_abs_return_5d,0.012953584732278497,0.012953584732278497
asset_specific,KBE,RandomForest,feature_importance,abs_return_lag_3,0.012047848588876002,0.012047848588876002
asset_specific,KBE,RandomForest,feature_importance,rolling_volatility_22d,0.01167772595746428,0.01167772595746428
asset_specific,KBE,RandomForest,feature_importance,squared_return_lag_5,0.011663530475553002,0.011663530475553002
asset_specific,KBE,RandomForest,feature_importance,rolling_volatility_5d,0.011214418163209831,0.011214418163209831
asset_specific,KBE,RandomForest,feature_importance,abs_return_lag_2,0.008362121790624661,0.008362121790624661
asset_specific,KBE,RandomForest,feature_importance,rolling_sum_squared_return_5d,0.007205535072962404,0.007205535072962404
asset_specific,KBE,RandomForest,feature_importance,squared_return_lag_2,0.006776693741047945,0.006776693741047945
asset_specific,KBE,RandomForest,feature_importance,rolling_mean_squared_return_5d,0.0059517046408070085,0.0059517046408070085
asset_specific,KBE,RandomForest,feature_importance,rolling_mean_squared_return_66d,0.005315669346312747,0.005315669346312747
asset_specific,KBE,RandomForest,feature_importance,rolling_sum_squared_return_66d,0.00412597335689457,0.00412597335689457
asset_specific,KBE,RandomForest,feature_importance,negative_return_dummy_t,0.003689090879793895,0.003689090879793895
asset_specific,KBE,RandomForest,feature_importance,rolling_volatility_66d,0.0033972247689914195,0.0033972247689914195
asset_specific,KBE,RandomForest,feature_importance,crisis_dummy,0.0,0.0
asset_specific,KBE,RandomForest,feature_importance,post_crisis_dummy,0.0,0.0
asset_specific,KBE,RandomForest,feature_importance,negative_x_crisis,0.0,0.0
asset_specific,KBE,RandomForest,feature_importance,negative_squared_x_crisis,0.0,0.0
asset_specific,KBE,Ridge,coefficient,rolling_volatility_66d,-1.2191649963033004,1.2191649963033004
asset_specific,KBE,Ridge,coefficient,rolling_volatility_22d,0.977469020710006,0.977469020710006
asset_specific,KBE,Ridge,coefficient,rolling_abs_return_66d,0.8080099217446721,0.8080099217446721
asset_specific,KBE,Ridge,coefficient,rolling_mean_squared_return_22d,-0.577316992422571,0.577316992422571
asset_specific,KBE,Ridge,coefficient,rolling_sum_squared_return_22d,-0.5773169924225576,0.5773169924225576
