Asset,scope,model,feature,importance,importance_window_end
KBE,asset_specific_rolling,Ridge,rolling_volatility_22d,0.09543786549452588,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_downside_squared_return_66d,0.088431440790268,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_abs_return_5d,0.07777814859328085,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_abs_return_66d,0.06441641633138279,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_lag_3,0.06283165521880336,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_lag_1,0.06027921047863297,2012-12-27
KBE,asset_specific_rolling,Ridge,abs_return_lag_3,0.057333896539712596,2012-12-27
KBE,asset_specific_rolling,Ridge,negative_squared_return_t,0.046459351609689274,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_volatility_5d,0.04621792242848422,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_abs_return_22d,0.04370014221878304,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_downside_squared_return_5d,0.043570541416879716,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_sum_squared_return_22d,0.038617276027292056,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_mean_squared_return_22d,0.03861727602728958,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_volatility_66d,0.024375749926351685,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_t,0.02362232668865461,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_mean_squared_return_5d,0.020229761899698228,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_sum_squared_return_5d,0.0202297618996699,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_lag_5,0.02001340378676718,2012-12-27
KBE,asset_specific_rolling,Ridge,return_t,0.0199311362967187,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_downside_squared_return_22d,0.01594049532311656,2012-12-27
KBE,asset_specific_rolling,Ridge,return_lag_1,0.013736169923989164,2012-12-27
KBE,asset_specific_rolling,Ridge,return_lag_5,0.011117158817384133,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_negative_share_22d,0.010391627709968952,2012-12-27
KBE,asset_specific_rolling,Ridge,negative_return_dummy_t,0.008996543009314588,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_negative_share_5d,0.00826015226570285,2012-12-27
KBE,asset_specific_rolling,Ridge,abs_return_lag_5,0.007902790982031196,2012-12-27
KBE,asset_specific_rolling,Ridge,abs_return_lag_2,0.007839003131540059,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_lag_10,0.005602124925469887,2012-12-27
KBE,asset_specific_rolling,Ridge,abs_return_t,0.005019159270678509,2012-12-27
KBE,asset_specific_rolling,Ridge,abs_return_lag_1,0.004632457631474745,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_negative_share_66d,0.004108757551807564,2012-12-27
KBE,asset_specific_rolling,Ridge,return_lag_3,0.0016690168487137776,2012-12-27
KBE,asset_specific_rolling,Ridge,return_lag_2,0.0012178284493402297,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_sum_squared_return_66d,0.0006932587002695768,2012-12-27
KBE,asset_specific_rolling,Ridge,rolling_mean_squared_return_66d,0.0006932587002694031,2012-12-27
KBE,asset_specific_rolling,Ridge,squared_return_lag_2,8.691308604418005e-05,2012-12-27
KBE,asset_specific_rolling,Ridge,crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,Ridge,post_crisis_dummy,0.0,2012-12-27
KBE,asset_specific_rolling,Ridge,negative_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,Ridge,negative_squared_x_crisis,0.0,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_downside_squared_return_22d,0.26326962274772475,2012-12-27
KBE,asset_specific_rolling,RandomForest,rolling_negative_share_66d,0.09819095990475762,2012-12-27
